time,survival
0.1540099767425697,99.48162014466809
0.3147973071154553,98.95124996559446
0.4317337203500475,98.07987053662656
0.6232103838222489,97.995516090599
0.8236696934502206,97.80081981857153
0.9320232370410952,97.80081981857153
0.960231980241394,97.1311530830725
1.0708680883600152,96.71399896156616
1.2402210783541037,96.71399896156616
1.4229665932352145,96.09721864462446
1.5670550069334706,95.22195643343368
1.574553968877213,95.22195643343368
1.7138984047300827,93.98789575096922
1.737111274430994,93.98789575096922
1.8894095111901168,93.05091253183978
2.079404823869892,92.78500433719128
2.2680478988336272,92.78500433719128
2.456690973797361,92.78500433719128
2.6087851921838734,92.41860324093317
2.7650081771862998,91.49859122596597
2.9124110789183053,90.29874844849336
3.110375273200523,89.8377686810116
3.296037073854725,89.41137363527488
3.4845263958420016,88.8782776357362
3.6731307637627104,88.7450148298328
3.854427743718311,88.04932207501587
4.01132575702318,86.99193556584588
4.204210747583954,86.83534666531408
4.341326834841823,86.56213477404621
4.382908788532806,85.38518638938648
4.487545705194298,84.81316610526967
4.673786225634853,84.74247809403461
4.8479548376993336,84.10652573367122
5.043469487995603,83.15558328618945
5.225294437256194,82.38451228109273
5.4117876998922725,81.79132747531416
5.591618471394035,80.96670699191083
5.784450944621126,80.62759818284106
5.9686809806284735,80.19198218071713
6.157324055592207,80.19198218071713
6.357817027114432,80.11553571560499
6.483282731116692,80.11553571560499
6.534452151760659,79.6464601690651
6.729905659264892,79.47637384626546
6.793648489397778,79.47637384626546
6.865225592185675,78.17587125735528
6.9487300492692174,78.17587125735528
7.042608068549759,77.53423144590013
7.231607929266561,77.24723748786448
7.240399199213835,77.24723748786448
7.344848179144163,76.9786031097371
7.4257197180520915,76.9786031097371
7.529792115189645,76.9786031097371
7.576641435593645,76.9786031097371
7.716928508263683,76.76905538346621
7.910004032788594,76.49042629057207
7.950805217383783,76.49042629057207
8.099103511324552,75.88204865621506
8.175603896119567,75.88204865621506
8.19327129582996,75.3483224008857
8.351070448520288,75.3483224008857
8.385642289115241,75.3483224008857
8.539726425831697,75.3483224008857
8.574283213687691,75.3483224008857
8.735484518340696,75.3483224008857
8.891548717427073,75.3483224008857
8.911276407022028,75.3483224008857
8.951051119316888,74.58062564182994
9.09708096549728,74.58062564182994
9.139670539976551,74.49967745939284
9.308205156756191,74.15027554335653
9.311439580588422,74.15027554335653
9.448088258797856,73.56007689231443
9.534129714659342,73.56007689231443
9.636760364043852,73.56007689231443
9.722772789623074,73.56007689231443
9.828268028990331,73.56007689231443
9.834243697556191,73.56007689231443
10.013986303015509,73.4554924213069
10.181171415653989,73.4554924213069
10.35430768174479,73.36161695216987
10.39158877550014,73.36161695216987
10.400891969486876,72.12253500816759
10.432139743206925,71.45289647550288
10.612165397502348,71.45289647550288
10.613618490958702,71.38892355881273
10.802266404302816,71.38892355881273
10.809377894609048,71.38892355881273
10.990904760352356,71.38892355881273
10.99459375659174,71.38892355881273
11.093501413074742,70.35141514583366
11.093947747264645,70.35141514583366
11.28206021318025,70.0597849423622
11.348417371270807,70.0597849423622
11.509258190985744,69.95293728010631
11.541582536695342,69.95293728010631
11.69176395963914,69.95293728010631
11.73510554386866,69.95293728010631
11.89970993232056,69.95293728010631
11.916582619093893,69.95293728010631
12.105247197970415,69.95293728010631
12.129766765732056,69.95293728010631
12.29925635933215,69.95293728010631
12.30759281192392,69.95293728010631
12.49964186091483,69.95293728010631
12.585668980834454,69.95293728010631
12.688265582357053,69.91971113048064
12.791185459368617,69.91971113048064
12.816448256116107,68.39970973085352
12.820761787422716,68.39970973085352
12.890974520277108,67.71905127396322
12.985796810928184,67.71905127396322
13.116368703797834,67.71905127396322
13.20233274557327,67.71905127396322
13.350678348122182,67.50446612573211
13.397439359124322,67.50446612573211
13.407411882307724,66.00682300793537
13.40871153101037,65.10536112006878
13.521383970070715,64.76669238963619
13.673183495252347,64.76669238963619
13.681476479220406,64.76669238963619
13.870145358879483,64.76669238963619
13.936505742556966,64.76669238963619
14.024615490830556,64.76669238963619
14.127337531844434,64.76669238963619
14.316022539438114,64.76669238963619
14.365805172746157,64.76669238963619
14.521770901831871,64.76669238963619
14.710437631099678,64.76669238963619
14.8136232009004,64.76669238963619
14.89908823243289,64.76669238963619
15.087762488070174,64.76669238963619
15.0965883389972,64.76669238963619
15.276343201686812,64.76669238963619
15.465018532519734,64.76669238963619
15.552279591065927,64.76669238963619
15.722232209397474,64.76669238963619
15.890116780813356,64.76669238963619
15.990903171010546,64.76669238963619
16.15096001950485,64.76669238963619
16.33963319994649,64.76669238963619
16.391356346344843,64.76669238963619
16.528247244627963,64.76669238963619
16.716889244396057,64.76669238963619
16.905532319359786,64.76669238963619
17.09417539432352,64.76669238963619
17.282855025939007,64.76669238963619
17.326003343752312,64.76669238963619
17.471462619446633,64.76669238963619
17.660104619214728,64.76669238963619
17.848747694178464,64.76669238963619
18.0373907691422,64.76669238963619
18.22603384410593,64.76669238963619
18.414676919069663,64.76669238963619
18.595046901184677,64.76669238963619
18.603344723533112,64.76669238963619
18.79196414419277,64.76669238963619
18.92077997378409,64.76669238963619
